key,value
msgbox_no_devices_body,"কোনো USB ড্রাইভ পাওয়া যায়নি।
অনুগ্রহ করে একটি ড্রাইভ সংযুক্ত করে আবার চেষ্টা করুন।"
msgbox_scan_error_title,স্ক্যান ত্রুটি
msgbox_scan_error_body,USB ডিভাইস স্ক্যান করতে ব্যর্থ:
no_usb_found,কোনো USB ডিভাইস পাওয়া যায়নি
dlg_select_image_title,ডিস্ক ইমেজ নির্বাচন করুন
dlg_select_image_filter,"ডিস্ক ইমেজ (*.iso *.dmg *.img *.bin *.raw);;সব ফাইল (*)"
about_content,"লুফাস একটি ডিস্ক ইমেজ লেখার টুল যা লিনাক্সের জন্য Python দিয়ে তৈরি।
উইন্ডোজের মূল Rufus টুল থেকে অনুপ্রাণিত।
ভার্সন: v1.0.0b1
GitHub: github.com/hog185/lufus"
about_subtitle,USB ফ্ল্যাশ টুল
btn_close,বন্ধ
btn_ok,OK
combo_boot_default,installation_media.iso
tooltip_website,ওয়েবসাইট
settings_label_theme,থিম
input_hash_placeholder,প্রত্যাশিত SHA256 হ্যাশ এখানে লিখুন...
combo_badblocks_2pass,২ বার
combo_badblocks_3pass,৩ বার
status_unmounting_all,{device}-এ সব পার্টিশন আনমাউন্ট করা হচ্ছে...
status_unmounting,{part} আনমাউন্ট করা হচ্ছে...
status_format_starting,ফরম্যাট অপারেশন শুরু হচ্ছে...
status_format_in_progress,ড্রাইভ ফরম্যাট করা হচ্ছে...
status_format_complete,ফরম্যাট সম্পন্ন!
status_format_failed,ফরম্যাট ব্যর্থ। সঠিক ত্রুটির জন্য উপরের লগ দেখুন।
status_flash_error,ফ্ল্যাশ ত্রুটি: {error}
acc_device,ডিভাইস সিলেক্টর
acc_device_desc,আপনি যে USB ডিভাইসটি ব্যবহার করতে চান তা নির্বাচন করুন
acc_refresh,ডিভাইস রিফ্রেশ করুন
acc_refresh_desc,সংযুক্ত USB ডিভাইস স্ক্যান করুন
acc_boot,বুট ইমেজ সিলেক্টর
acc_boot_desc,বর্তমানে নির্বাচিত ইমেজ ফাইল দেখায়
acc_select,ইমেজ ফাইলের জন্য ব্রাউজ করুন
acc_image_option,ইমেজ অপশন সিলেক্টর
acc_image_option_desc,লেখার জন্য ইমেজের ধরন নির্বাচন করুন: উইন্ডোজ, লিনাক্স, অন্যান্য, বা শুধু ফরম্যাট
acc_volume_label,ভলিউম লেবেল ইনপুট
acc_volume_label_desc,USB ভলিউমের জন্য একটি নাম লিখুন
acc_filesystem,ফাইল সিস্টেম সিলেক্টর
acc_cluster,ক্লাস্টার সাইজ সিলেক্টর
acc_flash_option,ফ্ল্যাশ পদ্ধতি সিলেক্টর
acc_quick_format,দ্রুত ফরম্যাট চেকবক্স
acc_extended_label,এক্সটেন্ডেড লেবেল তৈরির চেকবক্স
acc_bad_blocks,ব্যাড ব্লক পরীক্ষার চেকবক্স
acc_bad_blocks_passes,ব্যাড ব্লক চেক পাস সিলেক্টর
acc_verify_hash,SHA256 চেকসম যাচাইয়ের চেকবক্স
acc_hash_input,প্রত্যাশিত SHA256 হ্যাশ ইনপুট
acc_hash_input_desc,এখানে প্রত্যাশিত ৬৪-অক্ষরের SHA256 হ্যাশ পেস্ট করুন
acc_progress,অপারেশন প্রগ্রেস বার
acc_start,অপারেশন শুরু করুন
acc_cancel,অপারেশন বাতিল করুন
acc_website,Lufus ওয়েবসাইট খুলুন
acc_about,Lufus সম্পর্কে
acc_settings,সেটিংস খুলুন
acc_log,লগ উইন্ডো খুলুন
